keys,zh,en
开始游戏,开始游戏,Start Game
继续游戏,继续游戏,Continue
重置进度,重置进度,Reset Save
开发者信息,开发者信息,Credits
退出游戏,退出游戏,Quit
设置,设置,Settings
音乐音量,音乐音量,Music Volume
音效音量,音效音量,Sound Volume
全屏:开,全屏:开,Fullscreen: On
全屏:关,全屏:关,Fullscreen: Off
小机联动:开,小机联动:开,Bobbin Link: On
小机联动:关,小机联动:关,Bobbin Link: Off
小机维护,小机维护,Bobbin Service
关闭,关闭,Close
语言:中文,语言:中文,Language: English
返回主界面,返回主界面,Main Menu
美术与策划:焰陶,美术与策划:焰陶,Art & design: Yantao
音乐与硬件:lyy(李熠远),音乐与硬件:lyy(李熠远),Music & hardware: lyy (Li Yiyuan)
程序:LLM 与 焰陶、lyy 合作完成,程序:LLM 与 焰陶、lyy 合作完成,Code: written by an LLM together with Yantao and lyy
"字体:站酷小薇体(ZCOOL XiaoWei,免费商用授权);个别字形回退 Noto Sans SC(OFL)","字体:站酷小薇体(ZCOOL XiaoWei,免费商用授权);个别字形回退 Noto Sans SC(OFL)",Font: ZCOOL XiaoWei (free for commercial use); a few glyphs fall back to Noto Sans SC (OFL)
"标题音乐:舒伯特 A 大调钢琴奏鸣曲 D.664 第二乐章 Andante,演奏 Paul Pitman,公有领域(CC PD)","标题音乐:舒伯特 A 大调钢琴奏鸣曲 D.664 第二乐章 Andante,演奏 Paul Pitman,公有领域(CC PD)","Title music: Schubert, Piano Sonata in A major D.664, II. Andante, performed by Paul Pitman, public domain (CC PD)"
关内音乐:李熠远 与 ChatGPT 共同生成,关内音乐:李熠远 与 ChatGPT 共同生成,In-level music: generated by Li Yiyuan with ChatGPT
引擎:Godot 4.7,引擎:Godot 4.7,Engine: Godot 4.7
参考作品:The Incredible Proof Machine(incredible.pm)、陶哲轩 Q.E.D.,参考作品:The Incredible Proof Machine(incredible.pm)、陶哲轩 Q.E.D.,Inspired by: The Incredible Proof Machine (incredible.pm) and Terence Tao's Q.E.D.
第一章 并纹,第一章 并纹,Chapter 1: Plied Patterns
第二章 叠层纹,第二章 叠层纹,Chapter 2: Layered Patterns
第三章 岔纹,第三章 岔纹,Chapter 3: Forked Patterns
第四章 焦纹,第四章 焦纹,Chapter 4: Scorched Patterns
第一纹,第一纹,Pattern 1
第二纹,第二纹,Pattern 2
第三纹,第三纹,Pattern 3
第四纹,第四纹,Pattern 4
第五纹,第五纹,Pattern 5
诺拉·拉芙蒂,诺拉·拉芙蒂,Nora Lafferty
莉娅·科尔宾,莉娅·科尔宾,Lia Corbin
亚瑟·威客利夫,亚瑟·威客利夫,Arthur Wycliffe
感谢游玩,感谢游玩,Thanks for playing
重置,重置,Reset
选关,选关,Levels
示答,示答,Solve
测试用:重置并自动摆出本关答案(仅调试版可见),测试用:重置并自动摆出本关答案(仅调试版可见),Debug only: reset and lay out this level's answer (debug builds only)
织成了!,织成了!,Woven!
继续,继续,Continue
有困难可以对小机说:「请指导我」或「请帮帮我」,有困难可以对小机说:「请指导我」或「请帮帮我」,"Stuck? Say to Bobbin: ""please guide me"" or ""please help me"""
"有一口的纹样要你自己定:点这台仪器里纹样旁边的钉纹样按钮,画一幅钉上去","有一口的纹样要你自己定:点这台仪器里纹样旁边的钉纹样按钮,画一幅钉上去",One port's pattern is up to you: press Pin next to the pattern in that instrument and draw one to pin on
"从左边的仪器架点一台仪器,它会落在织案中央","从左边的仪器架点一台仪器,它会落在织案中央",Pick an instrument from the rack on the left; it lands in the middle of the loom bench
"按住线轴或仪器的出口往外拖出一条线,接到下一台仪器或目标织机的入口","按住线轴或仪器的出口往外拖出一条线,接到下一台仪器或目标织机的入口",Drag a thread out from a spool or an instrument's outlet and plug it into the next instrument or the Goal Loom
并织机,并织机,Plying Loom
拆股机,拆股机,Unply Loom
封程机,封程机,Sealing Loom
引渡机,引渡机,Redeem Loom
岔纹机,岔纹机,Forking Loom
汇路机,汇路机,Merging Loom
溃散机,溃散机,Ruin Loom
线轴,线轴,Spool
目标织机,目标织机,Goal Loom
钉纹样,钉纹样,Pin
"给本口的自由纹样赋值(求解只看输入和钉住的纹样,不从下游反推)","给本口的自由纹样赋值(求解只看输入和钉住的纹样,不从下游反推)","Pin a pattern on this free port (the loom only reads inputs and pinned patterns, never works backwards from below)"
冲突,冲突,Clash
欠定,欠定,Unset
成环,成环,Loop
逃逸,逃逸,Escape
该节点不是仪器,该节点不是仪器,That is not an instrument
该口不可钉纹样,该口不可钉纹样,This port cannot be pinned
纹样还有未染纱(不能包含 ? 元变量),纹样还有未染纱(不能包含 ? 元变量),The pattern still has undyed yarn
纹样绘制,纹样绘制,Draw a Pattern
点选笔刷进行绘制：,点选笔刷进行绘制：,Pick a brush to draw:
清空,清空,Clear
取消,取消,Cancel
确认,确认,Confirm
染这一色,染这一色,Dye this color
并织:分成左右两半,并织:分成左右两半,Ply: split into left and right halves
迭层:分成上下两层,迭层:分成上下两层,Layer: split into upper and lower layers
岔纹:分成两支,岔纹:分成两支,Fork: split into two branches
焦纹,焦纹,Scorched pattern
新机器!,新机器!,New machine!
翻页,翻页,Flip
"继续
工作","继续
工作","Back to
work"
"笔
记","笔
记","Note
book"
小艺(小智同款),小艺(小智同款),Xiaoyi (Xiaozhi's voice)
晓晓,晓晓,Xiaoxiao
晓双(童声),晓双(童声),Xiaoshuang (child)
云希(男),云希(男),Yunxi (male)
云扬(男),云扬(男),Yunyang (male)
索尼娅(英),索尼娅(英),Sonia (British)
"梅茜(英,童声)","梅茜(英,童声)","Maisie (British, child)"
莉比(英),莉比(英),Libby (British)
"瑞安(英,男)","瑞安(英,男)","Ryan (British, male)"
进关问候,进关问候,greeting on entering a level
通关庆祝,通关庆祝,celebration on clearing a level
接错线鼓励,接错线鼓励,encouragement after a wrong wire
发呆提示,发呆提示,nudge when idle
修好(第四章),修好(第四章),repaired (Chapter 4)
接入小机(拉起桥接与语音助手),接入小机(拉起桥接与语音助手),Connect Bobbin (start bridge and voice assistant)
刷入固件与语音,刷入固件与语音,Flash firmware and voices
试转一下,试转一下,Test turn
摄像头验证云台,摄像头验证云台,Verify gimbal with camera
"小机声音:改音色 / 音量 / 台词(中文一行、英文一行),先「保存并生成语音」(需联网),再「刷入固件与语音」送进小机","小机声音:改音色 / 音量 / 台词(中文一行、英文一行),先「保存并生成语音」(需联网),再「刷入固件与语音」送进小机","Bobbin's voice: change the voices, volume and lines (one Chinese row, one English row), then ""Save and generate voices"" (needs internet), then ""Flash firmware and voices"" to send them to Bobbin"
音色,音色,Voice
英文音色,英文音色,English voice
音量,音量,Volume
试听,试听,Play
英文,英文,English
保存并生成语音,保存并生成语音,Save and generate voices
"校准「看电脑方向」:自动 = 小机左右张望,正对屏幕时朝它挥手(或按它的 BOOT 键);手动 = 微调后保存。","校准「看电脑方向」:自动 = 小机左右张望,正对屏幕时朝它挥手(或按它的 BOOT 键);手动 = 微调后保存。","Calibrate ""facing the screen"": auto = Bobbin looks left and right, wave at it (or press its BOOT key) when it faces the screen; manual = nudge, then save."
开始自动校准(挥手锁定),开始自动校准(挥手锁定),Start auto calibration (wave to lock)
左,左,Left
右,右,Right
上,上,Up
下,下,Down
保存为屏幕方向,保存为屏幕方向,Save as screen direction
已请求保存…,已请求保存…,Save requested…
机器人:已启用(点击切换),机器人:已启用(点击切换),Robot: enabled (click to toggle)
机器人:无机器人模式(点击切换),机器人:无机器人模式(点击切换),Robot: no-robot mode (click to toggle)
"无机器人模式:不连桥接也不发命令,关内不显示求助提示,开发者信息页不显示「小机维护」","无机器人模式:不连桥接也不发命令,关内不显示求助提示,开发者信息页不显示「小机维护」","No-robot mode: no bridge, no commands, no help hint in levels, no ""Bobbin Service"" on the credits page"
桥接:已连,桥接:已连,Bridge: connected
"桥接:未连(点「接入小机」,或手动 bash hardware/run_robot.sh)","桥接:未连(点「接入小机」,或手动 bash hardware/run_robot.sh)","Bridge: not connected (press ""Connect Bobbin"", or run bash hardware/run_robot.sh by hand)"
串口 / 小机:在线,串口 / 小机:在线,Serial / Bobbin: online
"串口 / 小机:离线(没插 USB,或桥接还没找到 /dev/cu.usbmodem*)","串口 / 小机:离线(没插 USB,或桥接还没找到 /dev/cu.usbmodem*)","Serial / Bobbin: offline (USB not plugged in, or the bridge has not found /dev/cu.usbmodem* yet)"
"语音助手:在线(%s),说「请指导我」或「请帮帮我」/ please guide me","语音助手:在线(%s),说「请指导我」或「请帮帮我」/ please guide me","Voice assistant: online (%s), say ""please guide me"" or ""please help me"""
"语音助手:离线(需要 hardware/speech/model,第一次要允许麦克风)","语音助手:离线(需要 hardware/speech/model,第一次要允许麦克风)",Voice assistant: offline (needs hardware/speech/model; allow the microphone the first time)
固件外设:屏幕 %s / 功放 %s,固件外设:屏幕 %s / 功放 %s,Firmware peripherals: screen %s / amplifier %s
正常,正常,OK
故障(会自动重试),故障(会自动重试),faulty (retrying automatically)
故障(静音),故障(静音),faulty (muted)
回头方向:右(点击切换),回头方向:右(点击切换),Turn direction: right (click to toggle)
回头方向:左(点击切换),回头方向:左(点击切换),Turn direction: left (click to toggle)
小机动作:保持不动(点击切换),小机动作:保持不动(点击切换),Bobbin motion: stay still (click to toggle)
小机动作:照常(点击切换),小机动作:照常(点击切换),Bobbin motion: as usual (click to toggle)
"已拉起 hardware/run_robot.sh(pid %d),几秒后看上面状态。","已拉起 hardware/run_robot.sh(pid %d),几秒后看上面状态。",Started hardware/run_robot.sh (pid %d); check the status above in a few seconds.
"找不到 hardware/ 目录或脚本,请手动:bash hardware/run_robot.sh","找不到 hardware/ 目录或脚本,请手动:bash hardware/run_robot.sh",Cannot find the hardware/ directory or script; run by hand: bash hardware/run_robot.sh
"刷写中(会先停桥接,完成后自动重新接入)…","刷写中(会先停桥接,完成后自动重新接入)…",Flashing (the bridge stops first and reconnects when done)…
"摄像头验证中:先确认小机在画面里(第一次要允许摄像头),然后转 pan / tilt 各两次…","摄像头验证中:先确认小机在画面里(第一次要允许摄像头),然后转 pan / tilt 各两次…","Camera check: make sure Bobbin is in view (allow the camera the first time), then pan and tilt twice each…"
"找不到 hardware/ 目录或脚本,请手动跑 hardware/%s","找不到 hardware/ 目录或脚本,请手动跑 hardware/%s",Cannot find the hardware/ directory or script; run hardware/%s by hand
语音生成完毕:点「刷入固件与语音」送进小机。,语音生成完毕:点「刷入固件与语音」送进小机。,"Voices generated: press ""Flash firmware and voices"" to send them to Bobbin."
截图在 hardware/.run/cam/cam_report.png,截图在 hardware/.run/cam/cam_report.png,Screenshot at hardware/.run/cam/cam_report.png
找不到 hardware/firmware/sounds/lines.json,找不到 hardware/firmware/sounds/lines.json,Cannot find hardware/firmware/sounds/lines.json
台词「%s」为空,台词「%s」为空,"Line ""%s"" is empty"
写不了 %s,写不了 %s,Cannot write %s
"已保存台词,正在用微软语音生成 wav(中英各五句,需联网,约半分钟)…","已保存台词,正在用微软语音生成 wav(中英各五句,需联网,约半分钟)…","Lines saved; generating the wav files with Microsoft voices (five Chinese and five English, needs internet, about half a minute)…"
"还没有 %s.wav,先「保存并生成语音」","还没有 %s.wav,先「保存并生成语音」","No %s.wav yet; press ""Save and generate voices"" first"
读不了 %s,读不了 %s,Cannot read %s
试听 %s:%s,试听 %s:%s,Playing %s: %s
小机张望中…正对屏幕时朝它挥手!,小机张望中…正对屏幕时朝它挥手!,Bobbin is looking around… wave when it faces the screen!
已锁定屏幕方向 pan=%s tilt=%s,已锁定屏幕方向 pan=%s tilt=%s,Screen direction locked: pan=%s tilt=%s
"超时了,再试一次?","超时了,再试一次?",Timed out; try again?
