1.如果“主角表情”和“左位人物表情”留空的话，就使用对应人物的默认表情 2. 4-3的剧情在玩家关卡完成之后播放，播放完毕以后淡入一个纯黑色场景，上面用稍微大一些的字号、白色颜色的字体书写“感谢游玩”，然后淡出到开发者信息界面 3.除4-3以外，所有剧情在进入关卡前播放,,,,,,,
关卡,场景,主角表情,左位人物,左位人物表情,发言人,语句,语句_en
1-1,工坊,,莉娅·科尔宾,,莉娅·科尔宾,第一次来东区的静语纹工坊？别被这些机器吓着。它们不织布，只把不同颜色的静语丝编成静语纹，整座城都等着用呢。,"First time at the Silent Pattern workshop in the East End? Don't let the machines scare you. They don't weave cloth; they braid silent threads of different colors into silent patterns, and the whole city is waiting on them."
1-1,工坊,,莉娅·科尔宾,,莉娅·科尔宾,你就是新来的见习织工？诺拉·拉芙蒂？我是莉娅·科尔宾。先别碰那几台亮着铜灯的机器，它们脾气比工头还坏。,You're the new apprentice weaver? Nora Lafferty? I'm Lia Corbin. Keep away from the machines with the brass lamps lit for now; their tempers are worse than the foreman's.
1-1,工坊,惊讶,莉娅·科尔宾,,诺拉·拉芙蒂,这些就是静语织机？我以为我们做的是……布料。,So these are the silent looms? I thought we made… cloth.
1-1,工坊,,莉娅·科尔宾,,莉娅·科尔宾,普通织坊才用那种织布机。我们织的是静语纹。门锁认它，邮报机认它，契约柜和新式自动机也认它。没有这些纹样，半个伦敦都得装聋作哑。,"Ordinary workshops use looms for cloth. We weave silent patterns. Door locks read them, post machines read them, so do contract cabinets and the new automatons. Without these patterns, half of London would go deaf and dumb."
1-1,工坊,,莉娅·科尔宾,,诺拉·拉芙蒂,我会记下来的。我平时就有随手记笔记的习惯，新织法、机器规矩，能写下来的我都尽量写下来。,"I'll write it all down. I keep notes out of habit: new weaves, machine rules, whatever I can put on paper, I do."
1-1,工坊,,莉娅·科尔宾,,莉娅·科尔宾,那是个好习惯。工坊里要记的东西多着呢，等你忙起来，就知道一本笔记能救多少次急。,"That's a good habit. There's plenty to remember in a workshop. Once you're busy, you'll see how many times a notebook saves you."
1-1,工坊,,莉娅·科尔宾,,诺拉·拉芙蒂,可我听说，真正让那些机器运转的是学院写的“程式”。程式之严密、之复杂非一般人能解，唯有最具理性的学院绅士才能掌握。,But I heard that what really drives these machines are the “programmes” written by the Academy. They're so rigorous and so intricate that no ordinary person can grasp them; only the most rational gentlemen of the Academy can master them.
1-1,工坊,,莉娅·科尔宾,严肃,莉娅·科尔宾,学院写他们的符号，我们照规矩把纹样织出来。至于什么算“真正的学问”，那是绅士们最爱争的事。我们只管别让城市停摆。,The Academy writes its symbols; we weave the patterns by the rules. What counts as “real learning” is the gentlemen's favorite thing to argue about. We just keep the city from grinding to a halt.
1-1,工坊,,亚瑟·威客利夫,,亚瑟·威客利夫,科尔宾女士。今日的学院程式已经送到。新学徒？,Miss Corbin. Today's Academy programmes have been delivered. A new apprentice?
1-1,工坊,,莉娅·科尔宾,,莉娅·科尔宾,诺拉·拉芙蒂。手还生，但眼睛不差。,"Nora Lafferty. Her hands are green, but her eyes are sharp."
1-1,工坊,,亚瑟·威客利夫,,亚瑟·威客利夫,很好。静语纹允许有手工差异，但不允许偏离程式。请记住这一点，拉芙蒂小姐。,"Very well. Silent patterns allow for handwork variation, but never for straying from the programme. Remember that, Miss Lafferty."
1-1,工坊,,亚瑟·威客利夫,,诺拉·拉芙蒂,是，威客利夫先生。,"Yes, Mr. Wycliffe."
1-2,工坊,,莉娅·科尔宾,,莉娅·科尔宾,今天学“并织”。左路已经稳定，右路也已经稳定，就能把两路并成一个纹样；反过来，从完整并织里也能单独取出其中一路。,"Today we learn “plying”. When the left path is settled and the right path is settled too, you can ply the two into one pattern; and the other way round, from a finished plied pattern you can pull out either path on its own."
1-2,工坊,,莉娅·科尔宾,,诺拉·拉芙蒂,也就是说，不是把两条线搅在一起，而是要保留它们各自成立的结构。,So it isn't tangling two threads together; it's keeping the structure that each one holds on its own.
1-2,工坊,,莉娅·科尔宾,,莉娅·科尔宾,对。记住，静语丝不是越多越好，关系对了才算纹样。,Right. And remember: more silent thread isn't better. It's only a pattern when the relations are right.
1-2,工坊,,莉娅·科尔宾,,莉娅·科尔宾,哪一步没看明白，也可以问小织。墙边那个小家伙是工坊新进的小型机器人助手，基础织法和机器怎么用，它都能提醒你。,"If there's a step you don't follow, you can also ask Bobbin. That little fellow by the wall is the workshop's new little robot helper; it can remind you of the basic weaves and how the machines work."
1-2,工坊,惊讶,莉娅·科尔宾,,诺拉·拉芙蒂,机器人也能教人织静语纹？,A robot can teach people to weave silent patterns?
1-2,工坊,,莉娅·科尔宾,严肃,莉娅·科尔宾,教你上路而已。别太依赖它——等纹样越来越复杂，现成的提醒就不够用了。真碰上没见过的问题，最后还是得靠你自己想。,"Only enough to get you started. Don't lean on it too much — once the patterns get complicated, ready-made reminders won't be enough. When you hit a problem nobody has seen, in the end you'll have to think it through yourself."
1-2,工坊,,莉娅·科尔宾,苦恼,莉娅·科尔宾,还有，机器要是出现怪响、回针、余光，都写进工坊记录。学院未必肯收，但我们自己得记。,"Another thing: if a machine makes a strange noise, backstitches, or shows an afterglow, write it in the workshop record. The Academy may not accept it, but we keep our own."
1-2,工坊,惊讶,莉娅·科尔宾,严肃,诺拉·拉芙蒂,学院为什么不收？,Why wouldn't the Academy accept it?
1-2,工坊,惊讶,莉娅·科尔宾,苦恼,莉娅·科尔宾,他们管这叫“经验现象”。没有学院的人署名，就进不了正式档案。别皱眉，我都抱怨好多年了。,They call it an “empirical phenomenon”. Without an Academy man's signature it never enters the official archive. Don't frown; I've been complaining about it for years.
1-4,伦敦街上,惊讶,无,,诺拉·拉芙蒂,以前走这条街从没注意过……门边的铜槽、邮报机的滚轮，连路口信号器背后都有静语纹。,"I never noticed on this street before… the brass grooves by the doors, the rollers of the post machine, even the back of the signal box at the crossing has silent patterns."
1-4,伦敦街上,惊讶,无,,诺拉·拉芙蒂,原来我们白天织的那一小块，真的会跑到这里来。,So the little piece we weave by day really does end up out here.
1-4,伦敦街上,,亚瑟·威客利夫,,亚瑟·威客利夫,拉芙蒂小姐？这么晚还在研究市政器件？,Miss Lafferty? Studying municipal fittings this late?
1-4,伦敦街上,,亚瑟·威客利夫,,诺拉·拉芙蒂,只是觉得奇怪。它们看起来都不一样，却能认同一种纹样。,"It just seems strange. They all look different, yet they recognize the same kind of pattern."
1-4,伦敦街上,,亚瑟·威客利夫,,亚瑟·威客利夫,因为外形只是载体。真正统一它们的是学院给出的程式。工坊的任务，是把程式可靠地实现出来。,Because the casing is only a carrier. What truly unites them is the programme the Academy sets out. The workshop's task is to realize the programme reliably.
1-5,工坊,惊讶,无,,诺拉·拉芙蒂,威客利夫先生走得真急……等等，检验台下面这本黑色笔记，是他的吧？,"Mr. Wycliffe left in such a hurry… wait, this black notebook under the inspection bench, it's his, isn't it?"
1-5,工坊,严肃,无,,诺拉·拉芙蒂,威客利夫先生的……我明天还给他吧。,Mr. Wycliffe's… I'll return it tomorrow.
1-5,诺拉房间,严肃,无,,诺拉·拉芙蒂,我只是想确认扉页上的名字……这页画的结构怎么这么眼熟？,I only wanted to check the name on the flyleaf… why does the structure drawn on this page look so familiar?
1-5,诺拉房间,严肃,无,,诺拉·拉芙蒂,我们有A为真，也有B为真，因此可以得到“A且B”，或者说“A合取B”为真……,"We have A true, and we have B true, therefore we may obtain “A and B”, or in other words “A conjoined with B”, as true…"
1-5,诺拉房间,惊讶,无,,诺拉·拉芙蒂,把字符换成颜色，把“为真”换成“纹样”……这不就是……并织吗？,"Swap the letters for colors, swap “true” for “pattern”… isn't this just… plying?"
2-1,诺拉房间,严肃,无,,诺拉·拉芙蒂,先不看太深。我把这几条最简单的符号抄下来，和工坊的织法一条条对着试。,Let's not go too deep yet. I'll copy out these few simplest symbols and test them one by one against the workshop's weaves.
2-1,诺拉房间,严肃,无,,诺拉·拉芙蒂,如果 A 和 B 能并成 A合取B，那么这些符号至少不是在描述另一种东西……它们和工坊的织机在描述同一种结构。,"If A and B can be plied into A-conjoined-with-B, then at the very least these symbols aren't describing something else… they and the workshop's looms are describing the same structure."
2-2,工坊,,莉娅·科尔宾,,莉娅·科尔宾,今天学“引渡”。如果有红色和蓝色的叠层纹，再加上红色的线，就能引出蓝线。,"Today we learn “redeeming”. If you have a layered pattern of red over blue, and a red thread besides, you can draw out the blue thread."
2-2,工坊,,莉娅·科尔宾,,莉娅·科尔宾,还有对于你现在来说可能最难以理解的机器——封程机。,And then there's the machine that may be the hardest for you to understand right now — the Sealing Loom.
2-2,工坊,,莉娅·科尔宾,,莉娅·科尔宾,我们可以直接在封程机上绕过一切规则自由钉出纹样。,"On the Sealing Loom we can pin any pattern we like, freely, bypassing every rule."
2-2,工坊,,莉娅·科尔宾,,诺拉·拉芙蒂,那代价呢？,And the price?
2-2,工坊,,莉娅·科尔宾,,莉娅·科尔宾,问得好！这样的纹样是一种“虚纹”，它可以被输入其它织机，但也只能输入织机，不能直接拿去验收。,"Good question! Such a pattern is a kind of “phantom pattern”: it can be fed into other looms, but only into looms; it can't be handed in for inspection as it is."
2-2,工坊,,莉娅·科尔宾,,莉娅·科尔宾,不过，你利用虚纹生成的新纹样可以反过来输入封程机，生成一张上方为你所钉的纹样，下方为新纹样的叠层纹，这个叠层纹就是可以被验收的“实纹”了。,"But a new pattern you make with the phantom can be fed back into the Sealing Loom, which produces a layered pattern with what you pinned on top and the new pattern below — and that layered pattern is a “solid pattern” that passes inspection."
2-2,工坊,,莉娅·科尔宾,,诺拉·拉芙蒂,如果用学院的写法……A，还有“如果A成立，则B成立”，或说“A蕴含B”，就能得到 B。,"In the Academy's notation… A, together with “if A holds, then B holds”, or “A implies B”, gives you B."
